104.291, 1929, Jul Average, Uganda, UGA
97.5024, 1929, Aug Average, Uganda, UGA
98.2199, 1929, Sep Average, Uganda, UGA
115.66, 1929, Oct Average, Uganda, UGA
81.0279, 1929, Nov Average, Uganda, UGA
108.291, 1929, Dec Average, Uganda, UGA
55.4965, 1930, Jan Average, Uganda, UGA
46.102, 1930, Feb Average, Uganda, UGA
127.469, 1930, Mar Average, Uganda, UGA
199.68, 1930, Apr Average, Uganda, UGA
140.74, 1930, May Average, Uganda, UGA
100.596, 1930, Jun Average, Uganda, UGA
64.0477, 1930, Jul Average, Uganda, UGA
95.5061, 1930, Aug Average, Uganda, UGA
112.824, 1930, Sep Average, Uganda, UGA
138.433, 1930, Oct Average, Uganda, UGA
65.4423, 1930, Nov Average, Uganda, UGA
37.7636, 1930, Dec Average, Uganda, UGA
36.3233, 1931, Jan Average, Uganda, UGA
43.5554, 1931, Feb Average, Uganda, UGA
149.124, 1931, Mar Average, Uganda, UGA
146.285, 1931, Apr Average, Uganda, UGA
154.502, 1931, May Average, Uganda, UGA
68.056, 1931, Jun Average, Uganda, UGA
131.021, 1931, Jul Average, Uganda, UGA
126.427, 1931, Aug Average, Uganda, UGA
119.703, 1931, Sep Average, Uganda, UGA
92.8513, 1931, Oct Average, Uganda, UGA
84.5858, 1931, Nov Average, Uganda, UGA
56.8938, 1931, Dec Average, Uganda, UGA
19.7218, 1932, Jan Average, Uganda, UGA
39.5038, 1932, Feb Average, Uganda, UGA
161.104, 1932, Mar Average, Uganda, UGA
106.127, 1932, Apr Average, Uganda, UGA
166.587, 1932, May Average, Uganda, UGA
54.5003, 1932, Jun Average, Uganda, UGA
90.5762, 1932, Jul Average, Uganda, UGA
103.42, 1932, Aug Average, Uganda, UGA
147.766, 1932, Sep Average, Uganda, UGA
86.9144, 1932, Oct Average, Uganda, UGA
87.4496, 1932, Nov Average, Uganda, UGA
59.3673, 1932, Dec Average, Uganda, UGA
61.5746, 1933, Jan Average, Uganda, UGA
66.8719, 1933, Feb Average, Uganda, UGA
80.5441, 1933, Mar Average, Uganda, UGA
112.228, 1933, Apr Average, Uganda, UGA
133.498, 1933, May Average, Uganda, UGA
69.7815, 1933, Jun Average, Uganda, UGA
75.6579, 1933, Jul Average, Uganda, UGA
150.542, 1933, Aug Average, Uganda, UGA
120.707, 1933, Sep Average, Uganda, UGA
112.833, 1933, Oct Average, Uganda, UGA
50.285, 1933, Nov Average, Uganda, UGA
65.498, 1933, Dec Average, Uganda, UGA
9.02154, 1934, Jan Average, Uganda, UGA
22.602, 1934, Feb Average, Uganda, UGA
76.2882, 1934, Mar Average, Uganda, UGA
174.253, 1934, Apr Average, Uganda, UGA
124.476, 1934, May Average, Uganda, UGA
78.6244, 1934, Jun Average, Uganda, UGA
109.912, 1934, Jul Average, Uganda, UGA
