21.0833, 1933, Jun Average, Kenya, KEN
31.3593, 1933, Jul Average, Kenya, KEN
42.9451, 1933, Aug Average, Kenya, KEN
28.3867, 1933, Sep Average, Kenya, KEN
49.4357, 1933, Oct Average, Kenya, KEN
83.6088, 1933, Nov Average, Kenya, KEN
67.6058, 1933, Dec Average, Kenya, KEN
5.71495, 1934, Jan Average, Kenya, KEN
8.12939, 1934, Feb Average, Kenya, KEN
25.8825, 1934, Mar Average, Kenya, KEN
104.133, 1934, Apr Average, Kenya, KEN
112.849, 1934, May Average, Kenya, KEN
53.1867, 1934, Jun Average, Kenya, KEN
45.693, 1934, Jul Average, Kenya, KEN
31.7611, 1934, Aug Average, Kenya, KEN
10.9707, 1934, Sep Average, Kenya, KEN
49.5132, 1934, Oct Average, Kenya, KEN
39.5091, 1934, Nov Average, Kenya, KEN
57.6394, 1934, Dec Average, Kenya, KEN
1.86101, 1935, Jan Average, Kenya, KEN
67.1866, 1935, Feb Average, Kenya, KEN
31.0278, 1935, Mar Average, Kenya, KEN
86.4289, 1935, Apr Average, Kenya, KEN
147.362, 1935, May Average, Kenya, KEN
48.7271, 1935, Jun Average, Kenya, KEN
17.4372, 1935, Jul Average, Kenya, KEN
38.7519, 1935, Aug Average, Kenya, KEN
46.7818, 1935, Sep Average, Kenya, KEN
40.259, 1935, Oct Average, Kenya, KEN
93.8057, 1935, Nov Average, Kenya, KEN
60.7487, 1935, Dec Average, Kenya, KEN
54.5398, 1936, Jan Average, Kenya, KEN
71.1991, 1936, Feb Average, Kenya, KEN
73.7236, 1936, Mar Average, Kenya, KEN
170.555, 1936, Apr Average, Kenya, KEN
69.9939, 1936, May Average, Kenya, KEN
69.8874, 1936, Jun Average, Kenya, KEN
26.2498, 1936, Jul Average, Kenya, KEN
29.9145, 1936, Aug Average, Kenya, KEN
34.8064, 1936, Sep Average, Kenya, KEN
54.6765, 1936, Oct Average, Kenya, KEN
60.0484, 1936, Nov Average, Kenya, KEN
63.2803, 1936, Dec Average, Kenya, KEN
25.0229, 1937, Jan Average, Kenya, KEN
18.4512, 1937, Feb Average, Kenya, KEN
90.8451, 1937, Mar Average, Kenya, KEN
166.723, 1937, Apr Average, Kenya, KEN
140.926, 1937, May Average, Kenya, KEN
44.22, 1937, Jun Average, Kenya, KEN
30.391, 1937, Jul Average, Kenya, KEN
29.2286, 1937, Aug Average, Kenya, KEN
15.2693, 1937, Sep Average, Kenya, KEN
92.1774, 1937, Oct Average, Kenya, KEN
107.009, 1937, Nov Average, Kenya, KEN
52.6432, 1937, Dec Average, Kenya, KEN
35.6104, 1938, Jan Average, Kenya, KEN
12.7698, 1938, Feb Average, Kenya, KEN
51.2611, 1938, Mar Average, Kenya, KEN
90.6968, 1938, Apr Average, Kenya, KEN
89.4716, 1938, May Average, Kenya, KEN
34.7278, 1938, Jun Average, Kenya, KEN
40.5711, 1938, Jul Average, Kenya, KEN
34.5007, 1938, Aug Average, Kenya, KEN
23.1561, 1938, Sep Average, Kenya, KEN
67.5338, 1938, Oct Average, Kenya, KEN
67.3826, 1938, Nov Average, Kenya, KEN
