97.6485, 1935, Aug Average, Austria, AUT
83.085, 1935, Sep Average, Austria, AUT
183.973, 1935, Oct Average, Austria, AUT
83.181, 1935, Nov Average, Austria, AUT
85.7234, 1935, Dec Average, Austria, AUT
98.6749, 1936, Jan Average, Austria, AUT
91.4623, 1936, Feb Average, Austria, AUT
37.4164, 1936, Mar Average, Austria, AUT
99.0919, 1936, Apr Average, Austria, AUT
162.947, 1936, May Average, Austria, AUT
132.159, 1936, Jun Average, Austria, AUT
174.554, 1936, Jul Average, Austria, AUT
89.4754, 1936, Aug Average, Austria, AUT
99.4784, 1936, Sep Average, Austria, AUT
120.352, 1936, Oct Average, Austria, AUT
50.0032, 1936, Nov Average, Austria, AUT
67.7024, 1936, Dec Average, Austria, AUT
57.6583, 1937, Jan Average, Austria, AUT
99.1034, 1937, Feb Average, Austria, AUT
121.207, 1937, Mar Average, Austria, AUT
109.107, 1937, Apr Average, Austria, AUT
58.5655, 1937, May Average, Austria, AUT
157.569, 1937, Jun Average, Austria, AUT
153.332, 1937, Jul Average, Austria, AUT
182.063, 1937, Aug Average, Austria, AUT
208.929, 1937, Sep Average, Austria, AUT
89.292, 1937, Oct Average, Austria, AUT
72.624, 1937, Nov Average, Austria, AUT
106.09, 1937, Dec Average, Austria, AUT
64.2024, 1938, Jan Average, Austria, AUT
32.3482, 1938, Feb Average, Austria, AUT
60.4767, 1938, Mar Average, Austria, AUT
70.9924, 1938, Apr Average, Austria, AUT
122.86, 1938, May Average, Austria, AUT
100.416, 1938, Jun Average, Austria, AUT
141.418, 1938, Jul Average, Austria, AUT
203.783, 1938, Aug Average, Austria, AUT
65.7166, 1938, Sep Average, Austria, AUT
61.5987, 1938, Oct Average, Austria, AUT
63.0816, 1938, Nov Average, Austria, AUT
73.055, 1938, Dec Average, Austria, AUT
71.1949, 1939, Jan Average, Austria, AUT
30.6082, 1939, Feb Average, Austria, AUT
84.9362, 1939, Mar Average, Austria, AUT
39.3444, 1939, Apr Average, Austria, AUT
181.042, 1939, May Average, Austria, AUT
135.548, 1939, Jun Average, Austria, AUT
119.78, 1939, Jul Average, Austria, AUT
115.666, 1939, Aug Average, Austria, AUT
118.258, 1939, Sep Average, Austria, AUT
150.916, 1939, Oct Average, Austria, AUT
100.751, 1939, Nov Average, Austria, AUT
83.6814, 1939, Dec Average, Austria, AUT
52.407, 1940, Jan Average, Austria, AUT
47.5018, 1940, Feb Average, Austria, AUT
87.1881, 1940, Mar Average, Austria, AUT
53.1727, 1940, Apr Average, Austria, AUT
169.669, 1940, May Average, Austria, AUT
116.574, 1940, Jun Average, Austria, AUT
165.486, 1940, Jul Average, Austria, AUT
128.354, 1940, Aug Average, Austria, AUT
130.82, 1940, Sep Average, Austria, AUT
100.936, 1940, Oct Average, Austria, AUT
89.0636, 1940, Nov Average, Austria, AUT
40.0115, 1940, Dec Average, Austria, AUT
72.712, 1941, Jan Average, Austria, AUT
84.6212, 1941, Feb Average, Austria, AUT
88.5103, 1941, Mar Average, Austria, AUT
113.074, 1941, Apr Average, Austria, AUT
112.19, 1941, May Average, Austria, AUT
100.374, 1941, Jun Average, Austria, AUT
162.386, 1941, Jul Average, Austria, AUT
